Address,MENTO based on locked CELO,MENTO based on cStables balances,MENTO based on cStables volumes,total_distributed
0x000004e348d8de2f1218609bf6765b1d05e50000,,,191.44649198571372,191.44649198571372
0x0000101e99aaaec20c723b79523961344eb6c280,,,275.7527363069583,275.7527363069583
0x000062aaa70650a26c43cad4542e8755c7903adc,,929.9245554954534,481.84437691256767,1411.768932408021
0x000422feb8e71ebd440b5fde4aac24562c576809,,,189.64941825312866,189.64941825312866
0x000aaee22eb8491e72fdff1ff3cdeb1cf071ee76,10613.981010192794,869.5917739690229,2164.8100998999234,13648.38288406174
0x000aeefdcc21ee6bb7d8d6fc6144179dfdfeff86,,,339.5437305139516,339.5437305139516
0x000d544f19aeb769e80c2b5ec48750406f18ec41,,,254.48977813925353,254.48977813925353
0x000fd2a5516da5f05a48336faad288c5c3e575bb,,,177.9055886681216,177.9055886681216
0x001123f9ed1f3fc7cf265888a37fdb9df0397462,,2086.538502419047,572.3249540839764,2658.8634565030234
0x00168108b19147654090f828d2fd77ac88fe8bec,,,262.34700193749677,262.34700193749677
0x0016ed6b81ccbccc3d0079b41c78a8ce267206a7,,361.8889090278137,,361.8889090278137
0x001709b19d92a1a1b66880baa72800e128570088,,,300.5456946563439,300.5456946563439
0x001ae0a3ec6fd902f8b2d24a374b71342bf5cecf,,361.00496819237793,,361.00496819237793
0x001f7f8d99f021ce4f42b7783e9d8160b19caed9,,,230.96348909564614,230.96348909564614
0x0020b80802c69601223b87e40be35c973df03084,,1623.6997252832043,188.89267769400652,1812.592402977211
0x00218c6d58bf5bf420b33a26f927fb5df0f8202f,,1050.6167559714193,189.0785475643743,1239.6953035357935
0x0021d9818374493642a60d8bd9762b260125871a,,,400.55774895758003,400.55774895758003
0x0022987c2050de13332b29e34cc6007b3fdca9f4,,358.2473418346249,,358.2473418346249
0x00275755e834b16fe7cc6083cec67e81425d0356,,518.1357284878871,416.7517389163517,934.8874674042388
0x002a1f2560f7f851c42f7d3314360a0dcacc2cab,,,184.30968162015066,184.30968162015066
0x002b75b47d93c8e8f3f0668004e60fb1411db307,12504.455541640453,,,12504.455541640453
0x002d855b9df6bf6e01cdea8ad1fbe85be6b40c2f,,,162.06180408454566,162.06180408454566
0x002dc24e8959a442aa9da0af74af6ef9a83bb309,,,186.04965365921382,186.04965365921382
0x002f2a3b16466c94a2b4beef85e97dc69a9235aa,,1339.9434366626876,,1339.9434366626876
0x00300657cec66092ae42a737ba3242d82fb0e2c1,,,371.3922049984524,371.3922049984524
0x0030b9f1925408d79be83c7cecfffdbacb638e9b,,,380.3187847576435,380.3187847576435
0x00319c25805b9f8438057fc6428845de4597ac56,,,301.1513155319566,301.1513155319566
0x0031db9a45ab64afee5ec3d6e7cbd7c55b495160,,359.2822511615213,,359.2822511615213
0x0032d8060ccb4cb341d418303471f31a7242f2c3,,,375.8010416169507,375.8010416169507
